year,month,total_flights,delayed_flights,delay_rate,year_month
2020,1,660556.0,92164.0,0.16206305687013103,2020-01
2020,2,623103.0,93744.0,0.16971095770337896,2020-02
2020,3,701274.0,58557.0,0.09207249573590466,2020-03
2020,4,331238.0,9477.0,0.030339964662821482,2020-04
2020,5,192412.0,8339.0,0.047536970396026196,2020-05
2020,6,237264.0,15945.0,0.07676571275170788,2020-06
2020,7,370859.0,31524.0,0.1023802541835019,2020-07
2020,8,398470.0,30794.0,0.08964071086357148,2020-08
2020,9,345294.0,21497.0,0.06924090461534808,2020-09
2020,10,374538.0,31339.0,0.09696429250160911,2020-10
2020,11,389587.0,29470.0,0.08322762193866698,2020-11
2020,12,397802.0,46105.0,0.11896425802423383,2020-12
2021,1,379384.0,36949.0,0.10692886274115614,2021-01
2021,2,350170.0,48833.0,0.15135359314722474,2021-02
2021,3,467126.0,47012.0,0.10625365319746044,2021-03
2021,4,473936.0,50043.0,0.10851324239838214,2021-04
2021,5,520059.0,68339.0,0.12967859038216628,2021-05
2021,6,573779.0,134685.0,0.2388848110077915,2021-06
2021,7,615703.0,151268.0,0.26333287886954193,2021-07
2021,8,611494.0,136036.0,0.23308013450008638,2021-08
2021,9,567916.0,78984.0,0.15241132776040958,2021-09
2021,10,595373.0,105648.0,0.17550752865425215,2021-10
2021,11,576693.0,86010.0,0.15928262979219376,2021-11
2021,12,580238.0,124252.0,0.21761302247399028,2021-12
2022,1,563737.0,102515.0,0.20662136485618343,2022-01
2022,2,519952.0,97316.0,0.2001163389776456,2022-02
2022,3,590542.0,124328.0,0.20659891105207734,2022-03
2022,4,580290.0,124689.0,0.20729706941731593,2022-04
2022,5,602950.0,123950.0,0.21003656907879772,2022-05
2022,6,602057.0,139076.0,0.2250907659775803,2022-06
2022,7,618790.0,142088.0,0.22292758646253547,2022-07
2022,8,613649.0,132541.0,0.21044098503670053,2022-08
2022,9,580391.0,93938.0,0.15712261340710787,2022-09
2022,10,595322.0,93056.0,0.15831370625656546,2022-10
2022,11,567507.0,106213.0,0.19619446756604983,2022-11
2022,12,578321.0,146595.0,0.2559611006977177,2022-12
2023,1,573877.0,124293.0,0.22354701301183433,2023-01
2023,2,536229.0,99454.0,0.19010995429694277,2023-02
2023,3,616234.0,142566.0,0.23011801393315626,2023-03
2023,4,596676.0,133101.0,0.22147978498323623,2023-04
2023,5,616630.0,110487.0,0.1741330018570327,2023-05
2023,6,613577.0,160658.0,0.25395956243145573,2023-06
2023,7,638995.0,175807.0,0.2745050351306355,2023-07
2023,8,640236.0,134883.0,0.21144220832576402,2023-08
2023,9,604715.0,110457.0,0.18018557386578032,2023-09
2023,10,635538.0,97977.0,0.15900211953668103,2023-10
2023,11,599814.0,80737.0,0.13647131513265479,2023-11
2023,12,606218.0,94119.0,0.15332028328728126,2023-12
2024,1,582425.0,134575.0,0.2329169094902049,2024-01
2024,2,552691.0,86079.0,0.14868542674838317,2024-02
2024,3,628786.0,127248.0,0.18580519950961857,2024-03
2024,4,619920.0,115828.0,0.18100162409750398,2024-04
2024,5,649428.0,166497.0,0.24224248875621746,2024-05
2024,6,651799.0,157404.0,0.2416682277164717,2024-06
2024,7,676807.0,191746.0,0.28120602520874105,2024-07
2024,8,660639.0,150010.0,0.23112318630276038,2024-08
2024,9,621649.0,95112.0,0.15229064642609036,2024-09
2024,10,656283.0,84806.0,0.1295200218127046,2024-10
2024,11,614597.0,89260.0,0.1493041677736619,2024-11
2024,12,631944.0,132515.0,0.21626391738222395,2024-12
2025,1,599013.0,109605.0,0.2035433748823843,2025-01
2025,2,559577.0,114715.0,0.21959623509195322,2025-02
2025,3,664932.0,127648.0,0.2055803329302474,2025-03
2025,4,644084.0,124749.0,0.20537661402206916,2025-04
2025,5,667586.0,155262.0,0.23480218933467273,2025-05
2025,6,674179.0,186766.0,0.28668396646774763,2025-06
2025,7,696049.0,192888.0,0.2819165234567099,2025-07
2025,8,666242.0,145517.0,0.22182835856021238,2025-08
2025,9,621601.0,100369.0,0.15445037322091193,2025-09
2025,10,668332.0,132452.0,0.18821657142137163,2025-10
2025,11,630188.0,125230.0,0.19387906917506048,2025-11
2025,12,644987.0,170133.0,0.2805263970887649,2025-12
