carrier,airline,total_flights,delayed_flights,cancelled_flights,total_delay_min,carrier_delay_min,weather_delay_min,nas_delay_min,security_delay_min,late_aircraft_delay_min,delay_rate,cancellation_rate,avg_delay_severity,carrier_share,weather_share,nas_share,late_aircraft_share,cluster
9E,Endeavor Air Inc.,1354202.0,185658.0,31230.0,14549083.0,4800490.0,1121327.0,3276490.0,7009.0,5343767.0,0.1370977151119257,0.023061552117040147,78.36496676685087,0.3299513790662958,0.07707200515661365,0.22520250932653282,0.36729235787575065,1
AA,American Airlines Network,5078840.0,1086532.0,119543.0,87874824.0,31248783.0,4587094.0,12725963.0,177115.0,39135869.0,0.2139331028345055,0.02353746131006293,80.87642517661698,0.35560563967672926,0.05220032076536506,0.14481921465925213,0.44535928743367953,1
AS,Alaska Airlines Network,1292316.0,248598.0,24678.0,12490439.0,3861917.0,489381.0,3430070.0,80407.0,4628664.0,0.19236626335973556,0.019095948668901415,50.243521669522686,0.3091898531348658,0.03918044834132731,0.2746156480168551,0.37057656660426425,1
AX,Trans States Airlines,18705.0,3152.0,1618.0,238734.0,77442.0,11058.0,47552.0,87.0,102595.0,0.16851109329056402,0.08650093557872227,75.74048223350253,0.3243861368719998,0.046319334489431756,0.19918402908676602,0.4297460772240234,0
B6,JetBlue Airways,1366470.0,357799.0,34823.0,27724519.0,11063830.0,767305.0,5371019.0,65605.0,10456760.0,0.26184182601886613,0.02548391109940211,77.4862953781313,0.39906300989387766,0.027676043721443822,0.19372812202801426,0.3771665073792624,1
C5,"Commutair Aka Champlain Enterprises, Inc.",174482.0,34824.0,5752.0,2960058.0,1027037.0,208594.0,497496.0,493.0,1226438.0,0.19958505748443967,0.03296615123623067,85.00051688490696,0.34696516081779477,0.07046956512338609,0.1680696797157353,0.414329043552525,1
C5,CommuteAir LLC dba CommuteAir,238644.0,42240.0,4377.0,3830267.0,1300958.0,320136.0,578219.0,128.0,1629481.0,0.1770000502841052,0.018341127369638457,90.67866950757576,0.33977135078750625,0.0836099560137292,0.1510135228662271,0.42557174055778624,1
CP,Compass Airlines,15878.0,1763.0,1193.0,116061.0,44770.0,4315.0,20315.0,127.0,46534.0,0.1110341352815216,0.07513540748205064,65.83153715258082,0.3857454269737466,0.037178724980829046,0.17503726488656826,0.4009443309983543,0
DL,Delta Air Lines Network,5242763.0,807861.0,76994.0,56798983.0,27202791.0,2850883.0,10719069.0,69571.0,15956160.0,0.1540906960699921,0.014685767790762238,70.30786608092234,0.47893524392926473,0.05019295060638425,0.18872107373870642,0.2809258572686301,1
EM,Empire Airlines Inc.,5202.0,474.0,343.0,29953.0,6535.0,497.0,1896.0,35.0,20990.0,0.09111880046136102,0.0659361783929258,63.19198312236287,0.21817514105431843,0.016592661836877774,0.06329916869762628,0.7007645310987213,0
EV,ExpressJet Airlines LLC,52212.0,5344.0,4022.0,321565.0,94395.0,18594.0,141627.0,0.0,66949.0,0.10235194974335401,0.07703209990040603,60.17309131736527,0.2935487382022297,0.05782345715485205,0.4404303950989691,0.20819740954394914,0
F9,Frontier Airlines,968030.0,255075.0,23192.0,19546783.0,5807682.0,488133.0,3818244.0,0.0,9432344.0,0.26349906511161847,0.02395793518795905,76.63151230030383,0.29712280054800877,0.024973034680600824,0.19534253949435096,0.48256162527703944,1
G4,Allegiant Air,694895.0,171495.0,25650.0,13258817.0,4194384.0,1173081.0,2507143.0,48732.0,5335477.0,0.2467926809086265,0.0369120514610121,77.31314032479081,0.31634677513084314,0.08847554046488461,0.18909251104378316,0.4024097323313234,1
G7,GoJet Airlines LLC d/b/a United Express,327667.0,66183.0,12416.0,5716955.0,1432349.0,316368.0,1323432.0,462.0,2644344.0,0.20198250052644912,0.03789212828878099,86.38101929498512,0.2505440396154946,0.05533854997984067,0.23149246408271537,0.4625441340713719,1
HA,Hawaiian Airlines Network,414402.0,70143.0,5623.0,3335378.0,1922792.0,107679.0,98729.0,14261.0,1191917.0,0.16926317923176046,0.013568949956805227,47.551117003835024,0.5764839847237705,0.032283897057544905,0.029600543026907296,0.3573558978922329,1
MQ,Envoy Air,1521850.0,267010.0,35091.0,16501804.0,3927933.0,1923899.0,3927001.0,27394.0,6695577.0,0.17545093143213852,0.02305812005125341,61.80219467435676,0.23803052078427303,0.11658719252755638,0.23797404211078982,0.4057481836531327,1
NK,Spirit Airlines,1278352.0,286328.0,28009.0,19869662.0,5526852.0,732805.0,7828862.0,148516.0,5632627.0,0.2239821269884977,0.021910240684881784,69.39475706183119,0.27815531034196755,0.036880597163655826,0.39401082917263514,0.2834787526833622,1
OH,PSA Airlines Inc.,1300460.0,242814.0,40414.0,19230487.0,5712811.0,1466650.0,2833120.0,39117.0,9178789.0,0.18671393199329467,0.031076695938360273,79.19842760302124,0.2970705318071248,0.07626691929330755,0.1473244021329257,0.47730403291398704,1
OO,SkyWest Airlines Inc.,4343633.0,712991.0,79832.0,58184585.0,31260756.0,8312756.0,6219820.0,96844.0,12294409.0,0.16414623426979214,0.01837908497333914,81.60633864943597,0.5372686941051483,0.1428686996736335,0.10689807274555624,0.21130010637697252,1
PT,Piedmont Airlines,617695.0,91565.0,12225.0,7170940.0,1654286.0,870827.0,1193601.0,5863.0,3446363.0,0.14823658925521496,0.019791320959373155,78.31529514552504,0.23069304721556727,0.12143833304978148,0.16644972625625093,0.4806012879761928,1
QX,Horizon Air,545702.0,77198.0,10821.0,3849829.0,1287119.0,172469.0,778178.0,8183.0,1603880.0,0.14146548849005502,0.019829504015011858,49.869543252415866,0.3343314729043809,0.04479913263680023,0.20213313370541913,0.4166107118004462,1
UA,United Air Lines Network,3669461.0,687142.0,69861.0,48616446.0,14977843.0,2514882.0,12084132.0,6473.0,19032885.0,0.18725965475583473,0.01903849093913248,70.7516728711096,0.30808328044460065,0.05172928414933166,0.2485617607211915,0.3914925298071847,1
WN,Southwest Airlines,7582834.0,1487141.0,181898.0,77838171.0,24049043.0,1859738.0,12883452.0,214604.0,38827765.0,0.19611941920395462,0.023988128976580522,52.34081435452321,0.308976244267299,0.02389346064877418,0.1655234518961117,0.49884966328985664,1
YV,Mesa Airlines Inc.,670438.0,121699.0,21569.0,10622768.0,3896257.0,844041.0,1560366.0,8192.0,4313912.0,0.18152163212705724,0.03217150579173615,87.2872250388253,0.3667835916213175,0.0794558442771225,0.14688883349424556,0.40610055684168195,1
YX,Republic Airline,1812974.0,273708.0,56017.0,18751292.0,5270881.0,1187195.0,5864933.0,19087.0,6409196.0,0.15097182860868386,0.030897850713799534,68.5083811945577,0.2810942840631995,0.06331270399927642,0.31277487439265517,0.3418002343518516,1
ZW,Air Wisconsin Airlines Corp,322146.0,59535.0,9893.0,5305547.0,1474497.0,361759.0,770392.0,1578.0,2697085.0,0.1848075096384869,0.030709678220434213,89.1164357100865,0.2779284758235662,0.06818808548641163,0.1452114682815013,0.5083745326145819,1
